Rank,Site,SNI,HTTP,DNS
100001,ncvc.go.jp,open,open,unknown
100002,anyperk.com,open,open,open
100003,lauraribas.com,open,open,open
100004,lovematters.in,open,blocked,open
100005,dcode.fr,open,open,open
100006,dgcoursereview.com,open,open,open
100007,noticiaacompimenta.blogspot.com.br,open,blocked,open
100008,onlineretailpromotion.com,open,open,open
100009,nexport.com,open,open,open
100010,edu-hb.com,open,open,open
100011,s-cool.co.uk,open,open,open
100012,gamefabrique.com,open,open,open
100013,housewares.org,open,open,open
100014,themagiccafe.com,open,open,open
100015,merhabahaber.com,open,open,open
100016,parknshop.com,open,open,open
100017,s2block.com,open,open,open
100018,qimeda.de,open,open,open
100019,ordoro.com,open,open,open
100020,nb2011.com,open,open,open
100021,valutakurser.dk,open,open,open
100022,jokesmasti.com,open,open,open
100023,hippoland.net,open,open,open
100024,piao.com.cn,open,open,open
100025,new-retail.ru,open,open,open
100026,apollo.com.cn,open,open,open
100027,theonlinedogtrainer.com,open,open,open
100028,xkksports.com,open,open,open
100029,uploadboy.me,open,open,open
100030,realitytvworld.com,open,blocked,open
100031,ehdwallpapers.org,open,open,open
100032,reklampiksel.com,open,open,open
100033,torrentday.eu,open,open,open
100034,saizeriya.co.jp,open,open,unknown
100035,nauss.edu.sa,open,open,open
100036,iwufeng.com,open,open,unknown
100037,qvodcd.com,open,open,open
100038,aficionadome.com,open,open,open
100039,slaq.am,open,blocked,open
100040,118100.cn,open,open,open
100041,the-line-up.com,open,open,open
100042,etsi.org,open,open,open
100043,freebooksy.com,open,open,open
100044,reghouse.ru,open,open,open
100045,voltasac.com,open,open,open
100046,s9595s.com,open,open,open
100047,news-mangas.com,open,open,open
100048,seedmm.com,open,open,open
100049,kapsystem.com,open,open,open
100050,horoscopes.co.uk,open,open,open
100051,booktolearn.com,open,open,open
100052,planetary.org,open,open,open
100053,nt.se,open,open,open
100054,bforbank.com,open,open,open
100055,otticanet.com,open,open,open
100056,etypeservices.com,open,open,open
100057,themehats.com,open,open,open
100058,ygosu.com,open,open,open
100059,rankinglekarzy.pl,open,open,open
100060,qadinklubu.com,open,open,open
100061,mpbse.nic.in,open,open,open
100062,shiraztakhfif.ir,open,open,open
100063,kindergartenpaedagogik.de,open,open,open
100064,convertanyfile.com,open,open,open
100065,trafficauthority.net,open,open,open
